Name,Category,Energie,Joules,Vetten,Waarvan verzadigd,Koolhydraten,Waarvan suikers,Vezels,Eiwitten,Zout,Vitamine C,Kalium,-waarvan verzadigde vetzuren,-waarvan suikers,Voedingsvezel,Energie kJ,kcal,- waarvan verzadigde vetzuren,- waarvan suikers,Energie  kJ,Voedingsvezels,energie,vezel
Jumbo Krulfriet Mild Gekruid 750g,"aardappelen,-groente-en-fruit/aardappelen",689.0,164.0,5.4,0.6,24.7,0.3,2.9,2.7,1.12,,,,,,,,,,,,,
"Jumbo Stamppot Aardappelen 1, 5kg","aardappelen,-groente-en-fruit/aardappelen",371.0,88.0,0.0,0.0,19.0,1.0,1.8,2.0,0.01,14.0,450.0,,,,,,,,,,,
Jumbo Franse Frites 1kg,"aardappelen,-groente-en-fruit/aardappelen",522.0,124.0,3.7,0.4,19.3,0.2,2.5,2.2,0.12,,,,,,,,,,,,,
Jumbo Krieltjes Duopak 2 x 350g,"aardappelen,-groente-en-fruit/aardappelen",337.0,80.0,0.0,0.0,17.0,0.4,2.2,1.8,0.05,,,,,,,,,,,,,
Jumbo Zoete Aardappel Gratin Truffelsmaak 400g,"aardappelen,-groente-en-fruit/aardappelen",582.0,139.0,6.8,2.7,16.7,9.5,1.8,1.9,0.59,,,,,,,,,,,,,
Jumbo Vlaamse Frites 1kg,"aardappelen,-groente-en-fruit/aardappelen",521.0,124.0,2.5,0.4,22.0,0.3,2.1,2.2,0.07,,,,,,,,,,,,,
Jumbo Aardappelen Vastkokend 1kg,"aardappelen,-groente-en-fruit/aardappelen",371.0,88.0,0.0,0.0,19.0,0.0,1.8,2.0,0.01,14.0,450.0,,,,,,,,,,,
Jumbo Aardappelschijfjes Duopak 2 x 350g,"aardappelen,-groente-en-fruit/aardappelen",337.0,80.0,0.0,0.0,17.0,0.4,2.2,1.8,0.05,,,,,,,,,,,,,
Jumbo Ribbel Frites 1kg,"aardappelen,-groente-en-fruit/aardappelen",683.0,163.0,5.9,0.7,24.2,0.2,2.2,2.1,0.46,,,,,,,,,,,,,
Jumbo Aardappelen Roseval Vastkokend 1kg,"aardappelen,-groente-en-fruit/aardappelen",371.0,88.0,0.0,0.0,19.0,1.0,1.8,2.0,0.01,14.0,450.0,,,,,,,,,,,
MAGGI Aardappelpuree Naturel 2 x 138g,"aardappelen,-groente-en-fruit/aardappelen",,,2.0,1.0,14.0,2.0,1.0,2.0,0.0,,,,,,,,,,,,,
MAGGI Aardappelpuree voor Stamppot Extra Grof 2 x 115g,"aardappelen,-groente-en-fruit/aardappelen",,,0.0,0.0,13.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,
MAGGI Aardappelpuree voor Ovenschotel 176g,"aardappelen,-groente-en-fruit/aardappelen",,,1.0,0.0,16.0,2.0,1.0,1.0,0.0,,,,,,,,,,,,,
Aviko Skinny Fries 600g,"aardappelen,-groente-en-fruit/aardappelen",803.0,,8.0,1.0,27.0,0.2,1.8,2.0,0.39,,,,,,,,,,,,,
Jumbo Krieltjes Voordeelverpakking 1kg,"aardappelen,-groente-en-fruit/aardappelen",337.0,80.0,0.0,0.0,17.0,0.4,2.2,1.8,0.05,,,,,,,,,,,,,
Beyerlander Traditionele Airfryerfrites 500g,"aardappelen,-groente-en-fruit/aardappelen",636.0,,4.9,0.7,23.0,0.5,2.8,2.4,0.4,,,,,,,,,,,,,
Lamb Weston Burger Fries 750g,"aardappelen,-groente-en-fruit/aardappelen",698.0,,7.0,0.8,22.0,0.5,2.1,2.0,0.5,,,,,,,,,,,,,
Jumbo Verse Franse Frietjes Voorgebakken 1kg,"aardappelen,-groente-en-fruit/aardappelen",635.0,151.0,4.9,0.5,23.0,1.0,3.2,2.2,0.14,,,,,,,,,,,,,
Jumbo Verse friet 1kg,"aardappelen,-groente-en-fruit/aardappelen",142.0,,4.1,0.5,22.6,0.1,2.2,2.5,0.04,,,,,,,,,,,,,
Jumbo Texas BBQ Aardappelpartjes met Schil 450g,"aardappelen,-groente-en-fruit/aardappelen",344.0,81.0,0.1,0.1,17.1,0.5,2.3,1.9,0.29,,,,,,,,,,,,,
Jumbo Gekruide Opbakaardappelen met Schil 450g,"aardappelen,-groente-en-fruit/aardappelen",348.0,82.0,0.1,0.1,17.4,0.9,2.3,1.9,0.29,,,,,,,,,,,,,
Jumbo Zoete Aardappelpuree 500g,"aardappelen,-groente-en-fruit/aardappelen",357.0,,0.5,0.3,17.5,6.9,2.1,1.6,0.44,,,,,,,,,,,,,
Beyerlander Dunne Airfryerfrites 500g,"aardappelen,-groente-en-fruit/aardappelen",681.0,,4.4,0.6,27.0,0.5,2.3,2.4,0.7,,,,,,,,,,,,,
MAGGI Aardappelpuree à la Minute Naturel 2 x 89g,"aardappelen,-groente-en-fruit/aardappelen",,,1.0,0.0,12.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,
Jumbo Vastkokende Aardappelen 800g,"aardappelen,-groente-en-fruit/aardappelen",337.0,80.0,0.0,0.0,17.0,0.4,2.2,1.8,0.05,,,,,,,,,,,,,
MAGGI Aardappelpuree à la Minute Kaas 2 x 80g,"aardappelen,-groente-en-fruit/aardappelen",,,1.0,1.0,12.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,
Lamb Weston Rustic Fries Homestyle 750g,"aardappelen,-groente-en-fruit/aardappelen",579.0,,4.7,0.57,20.0,0.2,2.8,2.6,0.55,,,,,,,,,,,,,
MAGGI Aardappelpuree à la Minute Crème Fraiche 2 x 93g,"aardappelen,-groente-en-fruit/aardappelen",,,1.0,1.0,12.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,
Jumbo Aardappelen Krieltjes 500g,"aardappelen,-groente-en-fruit/aardappelen",371.0,88.0,0.0,0.0,19.0,1.0,1.8,2.0,0.01,14.0,450.0,,,,,,,,,,,
Jumbo Aardappelen Bildtstar Vrij Vastkokend 2kg,"aardappelen,-groente-en-fruit/aardappelen",371.0,88.0,0.0,0.0,19.0,1.0,1.8,2.0,0.01,14.0,450.0,,,,,,,,,,,
Lamb Weston Ziggy Fries Natural 750g,"aardappelen,-groente-en-fruit/aardappelen",677.0,,6.3,0.8,23.0,0.5,2.7,2.3,0.55,,,,,,,,,,,,,
Jumbo Provençaalse Aardappelschijfjes met Schil 450g,"aardappelen,-groente-en-fruit/aardappelen",343.0,81.0,0.1,0.1,17.1,0.4,2.3,1.9,0.32,,,,,,,,,,,,,
Jumbo Bourgondische Mini Krieltjes 600g,"aardappelen,-groente-en-fruit/aardappelen",343.0,81.0,0.1,0.1,17.3,0.7,2.2,1.8,0.43,,,,,,,,,,,,,
Jumbo Oven Krieltjes Kruidenbotersmaak 425g,"aardappelen,-groente-en-fruit/aardappelen",413.0,98.0,2.0,0.2,16.9,0.6,2.3,1.9,0.44,,,,,,,,,,,,,
Jumbo Opbakaardappelen met Schil 450g,"aardappelen,-groente-en-fruit/aardappelen",337.0,80.0,0.0,0.0,17.0,0.4,2.2,1.8,0.05,,,,,,,,,,,,,
Jumbo Gyros Mini Krieltjes 600g,"aardappelen,-groente-en-fruit/aardappelen",349.0,82.0,0.1,0.1,17.3,0.7,2.4,1.9,0.44,,,,,,,,,,,,,
